kernel,height,width,sw_time,hw_total_time,hw_time_x,pack_time_x,unpack_time_x,hw_speedup_vs_sw,overhead_time_x,best_tile,num_tiles,compute_ratio_x,overhead_ratio_x,tile_size,total_time,hw_time_y,pack_time_y,unpack_time_y,tiles,speedup_vs_hw,speedup_vs_sw,overhead_time_y,compute_ratio_y,overhead_ratio_y,best_tile_speedup_vs_hw,best_tile_speedup_vs_sw
Sobel Y,128,128,1.141920566558838,0.0020895004272460938,0.0005383491516113281,0.0009603500366210938,0.00015735626220703125,546.504107713373,0.001117706298828125,64.0,9.0,0.25764491099954356,0.5349155636695573,64.0,0.016761302947998047,0.0033006668090820312,0.004839897155761719,0.0004248619079589844,9.0,0.12466217177320701,68.12838895052772,0.013460636138916016,0.19692185144092628,0.8030781485590737,0.12466217177320701,68.12838895052772
Gaussian,128,128,1.1544666290283203,0.0021352767944335938,0.0005369186401367188,0.0010089874267578125,0.000156402587890625,540.6636891469406,0.0011653900146484375,64.0,9.0,0.25145154086645827,0.5457793657882983,64.0,0.016753196716308594,0.003360748291015625,0.004608631134033203,0.00042629241943359375,9.0,0.12745488700404167,68.91022940741162,0.013392448425292969,0.20060340410997893,0.7993965958900211,0.12745488700404167,68.91022940741162
Sobel X,256,256,4.662596702575684,0.003177642822265625,0.001068115234375,0.0011096000671386719,0.0004878044128417969,1467.313025210084,0.0015974044799804688,128.0,9.0,0.33613445378151263,0.5027010804321729,128.0,0.01838397979736328,0.0040493011474609375,0.005005836486816406,0.0007772445678710938,9.0,0.17284847227265654,253.622814753333,0.014334678649902344,0.2202624889765005,0.7797375110234995,0.17284847227265654,253.622814753333
Sobel Y,256,256,4.647763252258301,0.003158092498779297,0.0010418891906738281,0.0011401176452636719,0.0004887580871582031,1471.6995319341688,0.001628875732421875,128.0,9.0,0.3299109165030953,0.5157783481805828,128.0,0.017968177795410156,0.004014015197753906,0.004948139190673828,0.0007719993591308594,9.0,0.17576030996231623,258.6663659041452,0.01395416259765625,0.22339578578631708,0.776604214213683,0.17576030996231623,258.6663659041452
Gaussian,256,256,4.696071624755859,0.0031261444091796875,0.0010409355163574219,0.0010762214660644531,0.0005388259887695312,1502.1928004881024,0.0016150474548339844,128.0,9.0,0.33297742525930446,0.5166259914582062,128.0,0.017993927001953125,0.0038356781005859375,0.0051822662353515625,0.0007700920104980469,9.0,0.17373330506677973,260.9809200763197,0.014158248901367188,0.21316514733941064,0.7868348526605894,0.17373330506677973,260.9809200763197
Sobel X,512,512,18.809595108032227,0.007803440093994141,0.0030231475830078125,0.0017647743225097656,0.002460479736328125,2410.423464711274,0.004225254058837891,256.0,9.0,0.38741216009776963,0.5414604338527345,256.0,0.023869037628173828,0.006033420562744141,0.006397247314453125,0.0021696090698242188,9.0,0.3269273028747228,788.0332421040015,0.017835617065429688,0.2527718401022834,0.7472281598977166,0.3269273028747228,788.0332421040015
Sobel Y,512,512,18.815067768096924,0.007313251495361328,0.003032684326171875,0.0015778541564941406,0.0021085739135742188,2572.73632392254,0.0036864280700683594,256.0,9.0,0.41468344526308926,0.5040751124731042,256.0,0.023868083953857422,0.006016731262207031,0.006329536437988281,0.0022897720336914062,9.0,0.30640295674757767,788.29401658176,0.01785135269165039,0.2520827090200779,0.7479172909799221,0.30640295674757767,788.29401658176
Gaussian,512,512,18.98007583618164,0.007276058197021484,0.0030188560485839844,0.0015549659729003906,0.0021114349365234375,2608.565698931778,0.003666400909423828,256.0,9.0,0.41490268038534633,0.5038993380955502,256.0,0.023850440979003906,0.005943775177001953,0.0064105987548828125,0.0021715164184570312,9.0,0.30507017473709463,795.7955935863089,0.017906665802001953,0.24921028429765285,0.7507897157023472,0.30507017473709463,795.7955935863089
Sobel X,1024,1024,,,,,,,,512.0,9.0,,,512.0,0.04693412780761719,0.014191627502441406,0.011420249938964844,0.008805274963378906,9.0,,,0.03274250030517578,0.30237330840817656,0.6976266915918234,,
Sobel Y,1024,1024,,,,,,,,512.0,9.0,,,512.0,0.046783447265625,0.014127254486083984,0.011406898498535156,0.008613109588623047,9.0,,,0.032656192779541016,0.3019712165688193,0.6980287834311807,,
Gaussian,1024,1024,,,,,,,,512.0,9.0,,,512.0,0.04714155197143555,0.014087200164794922,0.011929512023925781,0.00863504409790039,9.0,,,0.033054351806640625,0.2988276706148913,0.7011723293851087,,
Sobel X,2048,2048,,,,,,,,512.0,25.0,,,512.0,0.16057157516479492,0.05236625671386719,0.036873817443847656,0.03169393539428711,25.0,,,0.10820531845092773,0.32612407681822636,0.6738759231817736,,
Sobel Y,2048,2048,,,,,,,,512.0,25.0,,,512.0,0.16132259368896484,0.052337646484375,0.03753232955932617,0.03178834915161133,25.0,,,0.10898494720458984,0.3244284962668259,0.6755715037331741,,
Gaussian,2048,2048,,,,,,,,512.0,25.0,,,512.0,0.16112661361694336,0.05229663848876953,0.03761768341064453,0.03177499771118164,25.0,,,0.10882997512817383,0.32456859431737134,0.6754314056826286,,
Sobel X,4096,4096,,,,,,,,512.0,81.0,,,512.0,0.616511344909668,0.2025132179260254,0.1329488754272461,0.12677907943725586,81.0,,,0.4139981269836426,0.32848254877726196,0.671517451222738,,
Sobel Y,4096,4096,,,,,,,,512.0,81.0,,,512.0,0.6027755737304688,0.20256805419921875,0.13235235214233398,0.12603187561035156,81.0,,,0.40020751953125,0.33605883023023275,0.6639411697697672,,
Gaussian,4096,4096,,,,,,,,512.0,81.0,,,512.0,0.6029276847839355,0.20250368118286133,0.13258028030395508,0.1261911392211914,81.0,,,0.4004240036010742,0.33586727943240874,0.6641327205675913,,
Sobel X,8192,8192,,,,,,,,512.0,289.0,,,512.0,2.421938419342041,0.7971515655517578,0.500788688659668,0.5041646957397461,289.0,,,1.6247868537902832,0.32913783405290586,0.6708621659470941,,
Sobel Y,8192,8192,,,,,,,,512.0,289.0,,,512.0,2.41861629486084,0.7973737716674805,0.5004262924194336,0.5029573440551758,289.0,,,1.6212425231933594,0.32968179920137314,0.6703182007986269,,
Gaussian,8192,8192,,,,,,,,512.0,289.0,,,512.0,2.420924663543701,0.7980227470397949,0.5017919540405273,0.503117561340332,289.0,,,1.6229019165039062,0.32963551450282025,0.6703644854971798,,
