kernel,height,width,tile_size,total_time,hw_time,pack_time,unpack_time,tiles,speedup_vs_hw,speedup_vs_sw,overhead_time,compute_ratio,overhead_ratio
Sobel X,1024,1024,256,0.07401132583618164,0.020133018493652344,0.01981353759765625,0.008385658264160156,25,,,0.0538783073425293,0.27202618337381534,0.7279738166261847
Sobel Y,1024,1024,256,0.07417964935302734,0.019910812377929688,0.020007610321044922,0.00855112075805664,25,,,0.054268836975097656,0.26841340652841883,0.7315865934715812
Gaussian,1024,1024,256,0.07415151596069336,0.020030975341796875,0.020166397094726562,0.00826263427734375,25,,,0.054120540618896484,0.270135749516099,0.729864250483901
Sobel X,1024,1024,512,0.04693412780761719,0.014191627502441406,0.011420249938964844,0.008805274963378906,9,,,0.03274250030517578,0.30237330840817656,0.6976266915918234
Sobel Y,1024,1024,512,0.046783447265625,0.014127254486083984,0.011406898498535156,0.008613109588623047,9,,,0.032656192779541016,0.3019712165688193,0.6980287834311807
Gaussian,1024,1024,512,0.04714155197143555,0.014087200164794922,0.011929512023925781,0.00863504409790039,9,,,0.033054351806640625,0.2988276706148913,0.7011723293851087
Sobel X,2048,2048,128,0.6148366928100586,0.14213085174560547,0.1718144416809082,0.041655540466308594,289,,,0.4727058410644531,0.2311684605159275,0.7688315394840725
Sobel Y,2048,2048,128,0.6211767196655273,0.14277267456054688,0.17444849014282227,0.0418848991394043,289,,,0.47840404510498047,0.2298422816576623,0.7701577183423377
Gaussian,2048,2048,128,0.6151537895202637,0.1416926383972168,0.1744379997253418,0.040997982025146484,289,,,0.4734611511230469,0.23033693494389068,0.7696630650561093
Sobel X,2048,2048,256,0.26570749282836914,0.07335710525512695,0.07109546661376953,0.03274822235107422,81,,,0.1923503875732422,0.2760821852416152,0.7239178147583848
Sobel Y,2048,2048,256,0.2653474807739258,0.07324504852294922,0.07092761993408203,0.03278923034667969,81,,,0.19210243225097656,0.2760344598310074,0.7239655401689926
Gaussian,2048,2048,256,0.26494884490966797,0.07301616668701172,0.07122468948364258,0.03269243240356445,81,,,0.19193267822265625,0.2755859030519871,0.724414096948013
Sobel X,2048,2048,512,0.16057157516479492,0.05236625671386719,0.036873817443847656,0.03169393539428711,25,,,0.10820531845092773,0.32612407681822636,0.6738759231817736
Sobel Y,2048,2048,512,0.16132259368896484,0.052337646484375,0.03753232955932617,0.03178834915161133,25,,,0.10898494720458984,0.3244284962668259,0.6755715037331741
Gaussian,2048,2048,512,0.16112661361694336,0.05229663848876953,0.03761768341064453,0.03177499771118164,25,,,0.10882997512817383,0.32456859431737134,0.6754314056826286
Sobel X,4096,4096,128,2.453660488128662,0.5680069923400879,0.692720890045166,0.16276931762695312,1156,,,1.8856534957885742,0.2314937193178225,0.7685062806821775
Sobel Y,4096,4096,128,2.452396869659424,0.569526195526123,0.6887073516845703,0.16280508041381836,1156,,,1.8828706741333008,0.23223247532737876,0.7677675246726212
Gaussian,4096,4096,128,2.4449591636657715,0.5671300888061523,0.6912851333618164,0.16182565689086914,1156,,,1.8778290748596191,0.23195892071908636,0.7680410792809137
Sobel X,4096,4096,256,1.0001554489135742,0.2806282043457031,0.26347875595092773,0.12946557998657227,289,,,0.7195272445678711,0.28058458777636763,0.7194154122236324
Sobel Y,4096,4096,256,0.9997854232788086,0.2801198959350586,0.26265764236450195,0.1297607421875,289,,,0.71966552734375,0.28018001604424475,0.7198199839557553
Gaussian,4096,4096,256,0.9955530166625977,0.27986669540405273,0.2633814811706543,0.12952327728271484,289,,,0.7156863212585449,0.28111681720603154,0.7188831827939685
Sobel X,4096,4096,512,0.616511344909668,0.2025132179260254,0.1329488754272461,0.12677907943725586,81,,,0.4139981269836426,0.32848254877726196,0.671517451222738
Sobel Y,4096,4096,512,0.6027755737304688,0.20256805419921875,0.13235235214233398,0.12603187561035156,81,,,0.40020751953125,0.33605883023023275,0.6639411697697672
Gaussian,4096,4096,512,0.6029276847839355,0.20250368118286133,0.13258028030395508,0.1261911392211914,81,,,0.4004240036010742,0.33586727943240874,0.6641327205675913
Sobel X,8192,8192,128,9.555903911590576,2.2254114151000977,2.689629554748535,0.6429133415222168,4489,,,7.3304924964904785,0.23288340231224436,0.7671165976877556
Sobel Y,8192,8192,128,9.530286312103271,2.2174344062805176,2.6830239295959473,0.6429443359375,4489,,,7.312851905822754,0.23267238083544464,0.7673276191645554
Gaussian,8192,8192,128,9.552815914154053,2.2199392318725586,2.706969738006592,0.6428723335266113,4489,,,7.332876682281494,0.23238584851021332,0.7676141514897867
Sobel X,8192,8192,256,3.883528709411621,1.0952248573303223,1.0019898414611816,0.514554500579834,1089,,,2.788303852081299,0.28201796337338153,0.7179820366266184
Sobel Y,8192,8192,256,3.880378246307373,1.0952496528625488,1.0019745826721191,0.5139226913452148,1089,,,2.785128593444824,0.2822533225735932,0.7177466774264069
Gaussian,8192,8192,256,3.8816604614257812,1.0972461700439453,1.005251407623291,0.5138635635375977,1089,,,2.784414291381836,0.2826744330030642,0.7173255669969358
Sobel X,8192,8192,512,2.421938419342041,0.7971515655517578,0.500788688659668,0.5041646957397461,289,,,1.6247868537902832,0.32913783405290586,0.6708621659470941
Sobel Y,8192,8192,512,2.41861629486084,0.7973737716674805,0.5004262924194336,0.5029573440551758,289,,,1.6212425231933594,0.32968179920137314,0.6703182007986269
Gaussian,8192,8192,512,2.420924663543701,0.7980227470397949,0.5017919540405273,0.503117561340332,289,,,1.6229019165039062,0.32963551450282025,0.6703644854971798
